Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,142,3,Some Random Commen with Id 0
1,0,5,16,6,Some Random Commen with Id 1
2,1,2,67,7,Some Random Commen with Id 2
3,1,2,25,0,Some Random Commen with Id 3
4,1,2,135,9,Some Random Commen with Id 4
5,1,2,27,1,Some Random Commen with Id 5
6,1,2,15,3,Some Random Commen with Id 6
7,2,4,188,7,Some Random Commen with Id 7
8,2,4,42,3,Some Random Commen with Id 8
9,2,4,175,2,Some Random Commen with Id 9
10,2,4,102,0,Some Random Commen with Id 10
11,2,4,123,2,Some Random Commen with Id 11
12,2,4,166,7,Some Random Commen with Id 12
13,2,4,30,3,Some Random Commen with Id 13
14,3,4,120,2,Some Random Commen with Id 14
15,3,4,13,5,Some Random Commen with Id 15
16,4,9,85,9,Some Random Commen with Id 16
17,4,9,149,2,Some Random Commen with Id 17
18,4,9,83,8,Some Random Commen with Id 18
19,4,9,74,9,Some Random Commen with Id 19
20,4,9,108,8,Some Random Commen with Id 20
21,4,9,89,2,Some Random Commen with Id 21
22,4,9,131,0,Some Random Commen with Id 22
23,5,7,102,3,Some Random Commen with Id 23
24,5,7,89,9,Some Random Commen with Id 24
25,5,7,99,4,Some Random Commen with Id 25
26,5,7,54,8,Some Random Commen with Id 26
27,5,7,178,6,Some Random Commen with Id 27
28,5,7,26,5,Some Random Commen with Id 28
29,5,7,164,0,Some Random Commen with Id 29
30,5,7,16,7,Some Random Commen with Id 30
31,5,7,89,0,Some Random Commen with Id 31
32,7,8,32,4,Some Random Commen with Id 32
33,7,8,175,3,Some Random Commen with Id 33
34,7,8,144,6,Some Random Commen with Id 34
35,7,8,74,2,Some Random Commen with Id 35
36,7,8,87,0,Some Random Commen with Id 36
37,7,8,184,6,Some Random Commen with Id 37
38,8,9,73,8,Some Random Commen with Id 38
39,9,1,11,9,Some Random Commen with Id 39
40,10,0,196,7,Some Random Commen with Id 40
41,10,0,169,4,Some Random Commen with Id 41
42,10,0,90,5,Some Random Commen with Id 42
43,10,0,177,1,Some Random Commen with Id 43
44,10,0,158,7,Some Random Commen with Id 44
45,10,0,92,9,Some Random Commen with Id 45
46,10,0,127,0,Some Random Commen with Id 46
47,10,0,191,3,Some Random Commen with Id 47
48,10,0,195,0,Some Random Commen with Id 48
49,11,8,168,3,Some Random Commen with Id 49
50,11,8,101,7,Some Random Commen with Id 50
51,11,8,65,5,Some Random Commen with Id 51
52,11,8,96,5,Some Random Commen with Id 52
53,11,8,4,7,Some Random Commen with Id 53
54,11,8,112,7,Some Random Commen with Id 54
55,12,0,124,5,Some Random Commen with Id 55
56,12,0,60,3,Some Random Commen with Id 56
57,12,0,33,8,Some Random Commen with Id 57
58,12,0,130,1,Some Random Commen with Id 58
59,12,0,75,0,Some Random Commen with Id 59
60,13,6,24,9,Some Random Commen with Id 60
61,13,6,99,4,Some Random Commen with Id 61
62,13,6,165,0,Some Random Commen with Id 62
63,13,6,20,9,Some Random Commen with Id 63
64,13,6,10,0,Some Random Commen with Id 64
65,13,6,57,5,Some Random Commen with Id 65
66,13,6,193,6,Some Random Commen with Id 66
67,14,9,133,3,Some Random Commen with Id 67
68,14,9,12,4,Some Random Commen with Id 68
69,14,9,92,0,Some Random Commen with Id 69
70,14,9,138,6,Some Random Commen with Id 70
71,14,9,78,7,Some Random Commen with Id 71
72,15,9,128,5,Some Random Commen with Id 72
73,15,9,74,1,Some Random Commen with Id 73
74,15,9,121,9,Some Random Commen with Id 74
75,15,9,68,4,Some Random Commen with Id 75
76,18,6,44,3,Some Random Commen with Id 76
77,18,6,187,0,Some Random Commen with Id 77
78,18,6,102,1,Some Random Commen with Id 78
79,18,6,186,7,Some Random Commen with Id 79
80,18,6,76,7,Some Random Commen with Id 80
81,18,6,126,2,Some Random Commen with Id 81
82,18,6,121,4,Some Random Commen with Id 82
83,19,2,113,4,Some Random Commen with Id 83
84,19,2,160,8,Some Random Commen with Id 84
85,19,2,12,0,Some Random Commen with Id 85
86,19,2,149,1,Some Random Commen with Id 86
87,19,2,140,0,Some Random Commen with Id 87
88,19,2,186,9,Some Random Commen with Id 88
89,19,2,51,5,Some Random Commen with Id 89
90,19,2,66,3,Some Random Commen with Id 90
91,19,2,158,6,Some Random Commen with Id 91
92,20,0,14,3,Some Random Commen with Id 92
93,20,0,77,0,Some Random Commen with Id 93
94,20,0,117,3,Some Random Commen with Id 94
95,20,0,21,1,Some Random Commen with Id 95
96,20,0,197,8,Some Random Commen with Id 96
97,22,6,22,1,Some Random Commen with Id 97
98,22,6,100,2,Some Random Commen with Id 98
99,22,6,31,2,Some Random Commen with Id 99
100,22,6,103,3,Some Random Commen with Id 100
101,23,3,119,6,Some Random Commen with Id 101
102,23,3,4,0,Some Random Commen with Id 102
103,23,3,51,5,Some Random Commen with Id 103
104,23,3,65,3,Some Random Commen with Id 104
105,23,3,70,4,Some Random Commen with Id 105
106,24,8,138,1,Some Random Commen with Id 106
107,24,8,102,5,Some Random Commen with Id 107
108,24,8,18,8,Some Random Commen with Id 108
109,24,8,43,9,Some Random Commen with Id 109
110,25,5,39,8,Some Random Commen with Id 110
111,25,5,166,4,Some Random Commen with Id 111
112,25,5,53,1,Some Random Commen with Id 112
113,25,5,175,6,Some Random Commen with Id 113
114,25,5,173,8,Some Random Commen with Id 114
115,25,5,46,3,Some Random Commen with Id 115
116,25,5,51,9,Some Random Commen with Id 116
117,25,5,40,0,Some Random Commen with Id 117
118,25,5,116,5,Some Random Commen with Id 118
119,26,0,33,8,Some Random Commen with Id 119
120,26,0,63,3,Some Random Commen with Id 120
121,26,0,181,0,Some Random Commen with Id 121
122,26,0,76,2,Some Random Commen with Id 122
123,26,0,80,9,Some Random Commen with Id 123
124,26,0,191,6,Some Random Commen with Id 124
125,27,0,53,2,Some Random Commen with Id 125
126,27,0,106,3,Some Random Commen with Id 126
127,27,0,58,6,Some Random Commen with Id 127
128,27,0,91,7,Some Random Commen with Id 128
129,27,0,131,1,Some Random Commen with Id 129
130,28,9,152,8,Some Random Commen with Id 130
131,28,9,184,7,Some Random Commen with Id 131
132,28,9,158,9,Some Random Commen with Id 132
133,29,5,161,9,Some Random Commen with Id 133
134,29,5,181,3,Some Random Commen with Id 134
135,30,2,136,4,Some Random Commen with Id 135
136,30,2,30,7,Some Random Commen with Id 136
137,30,2,168,1,Some Random Commen with Id 137
138,31,0,193,6,Some Random Commen with Id 138
139,31,0,180,5,Some Random Commen with Id 139
140,31,0,45,0,Some Random Commen with Id 140
141,31,0,28,0,Some Random Commen with Id 141
142,31,0,91,3,Some Random Commen with Id 142
143,31,0,192,0,Some Random Commen with Id 143
144,31,0,185,5,Some Random Commen with Id 144
145,32,4,162,9,Some Random Commen with Id 145
146,32,4,91,1,Some Random Commen with Id 146
147,32,4,114,8,Some Random Commen with Id 147
148,32,4,85,5,Some Random Commen with Id 148
149,33,8,22,7,Some Random Commen with Id 149
150,33,8,96,2,Some Random Commen with Id 150
151,33,8,125,7,Some Random Commen with Id 151
152,34,2,95,4,Some Random Commen with Id 152
153,34,2,63,2,Some Random Commen with Id 153
154,34,2,27,6,Some Random Commen with Id 154
155,34,2,181,0,Some Random Commen with Id 155
156,34,2,162,4,Some Random Commen with Id 156
157,34,2,130,7,Some Random Commen with Id 157
158,34,2,29,5,Some Random Commen with Id 158
159,34,2,193,4,Some Random Commen with Id 159
160,34,2,153,4,Some Random Commen with Id 160
161,35,5,165,4,Some Random Commen with Id 161
162,35,5,157,1,Some Random Commen with Id 162
163,35,5,60,1,Some Random Commen with Id 163
164,35,5,147,4,Some Random Commen with Id 164
165,35,5,166,0,Some Random Commen with Id 165
166,35,5,50,8,Some Random Commen with Id 166
167,35,5,193,6,Some Random Commen with Id 167
168,35,5,156,6,Some Random Commen with Id 168
169,35,5,53,9,Some Random Commen with Id 169
170,36,3,92,7,Some Random Commen with Id 170
171,36,3,72,5,Some Random Commen with Id 171
172,36,3,32,2,Some Random Commen with Id 172
173,36,3,46,5,Some Random Commen with Id 173
174,36,3,111,2,Some Random Commen with Id 174
175,38,8,171,9,Some Random Commen with Id 175
176,38,8,51,4,Some Random Commen with Id 176
177,38,8,53,2,Some Random Commen with Id 177
178,38,8,68,6,Some Random Commen with Id 178
179,38,8,163,1,Some Random Commen with Id 179
180,38,8,53,9,Some Random Commen with Id 180
181,39,1,53,7,Some Random Commen with Id 181
182,39,1,193,5,Some Random Commen with Id 182
183,39,1,130,2,Some Random Commen with Id 183
184,39,1,78,3,Some Random Commen with Id 184
185,39,1,171,9,Some Random Commen with Id 185
186,39,1,124,9,Some Random Commen with Id 186
187,39,1,178,9,Some Random Commen with Id 187
188,39,1,107,1,Some Random Commen with Id 188
189,39,1,87,2,Some Random Commen with Id 189
